*$$ SDRPT007   03012020 VR    18:10:47
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     1
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  000018 SNAM000018  I                           98000                                             CP
  000026 SNAM000026                              98000                                             CP
  000034 SNAM000034                              98000                                             CP
  000042 SNAM000042                              98000                                             CP
  000059 SNAM000059                              98000                                             CP
  000067 SNAM000067                              98000                                             CP
  000075 SNAM000075                              98000                                             CP
  000083 SNAM000083                              98000                                             CP
  000091 SNAM000091                              98000                                             CP
  000109 SNAM000109                              98000                                             CP
  000117 SNAM000117                              98000                                             CP
  000125 SNAM000125                              98000                                             CP
  000133 SNAM000133                              98000                                             CP
  000141 SNAM000141                              98000                                             CP
  000158 SNAM000158                              98000                                             CP
  000166 SNAM000166                              98000                                             CP
  000174 SNAM000174                              98000                                             CP
  000182 SNAM000182                              98000                                             CP
  000190 SNAM000190                              98000                                             CP
  000208 SNAM000208                              98000                                             CP
  000216 SNAM000216                              98000                                             CP
  000224 SNAM000224                              98000                                             CP
  000228 SNAM000228                              98000                                             CP
  000232 SNAM000232                              98000                                             CP
  000240 SNAM000240                              98000                                             CP
  000257 SNAM000257                              98000                                             CP
  000265 SNAM000265                              98000                                             CP
  000273 SNAM000273                              98000                                             CP
  000281 SNAM000281                              98000                                             CP
  000299 SNAM000299                              98000                                             CP
  000307 SNAM000307                              98000                                             CP
  000315 SNAM000315                              98000                                             CP
  000323 SNAM000323                              98000                                             CP
  000331 SNAM000331                              98000                                             CP
  000349 SNAM000349                              98000                                             CP
  000356 SNAM000356                              98000                                             CP
  000364 SNAM000364                              98000                                             CP
  000372 SNAM000372                              98000                                             CP
